name,hard,clean,cond,bubble,cream,sap Na,sap K,desc
"Almond Oil, Sweet",7,0,89,0,7,139,195,"A light, liquid oil at room temp. Recommended usage of this oil in soap recipes is 5-10% primarily for conditioning purposes. Almond oil easily absorbs into the skin to provide nourishment."
Apricot Kernel Oil,6,0,93,0,6,139,195,"A light, liquid oil at room temp. Recommended usage of this oil in soap recipes is 5-10% primarily for conditioning purposes. Apricot kernel oil easily absorbs into the skin to provide nourishment."
Argan Oil,15,1,91,1,14,136,191,"Referred to as ""liquid gold"" in Europe, Argan oil is used in soap to provide antioxidants, nutrients and conditioning to the skin. Provides a stable, rich lather. Usage rate 5-10%."
Avocado Oil,22,0,70,0,20,133,186,"A nutrient-filled soaping oil that provides creamy lather and conditioning to the skin. Due to its high levels of unsaponifiables, many soapers use this oil to increase the moisturizing qualities of their soap. Avocado oil is great in soap for people with sensitive skin. Usage rate can be 5-30% in a soap recipe."
Babassu Oil,85,70,10,70,15,175,245,Babassu oil closely resembles the qualities of coconut and palm kernel oil when used in soap. It provides bubbly lather. May speed trace. Great for itchy skin.
Beeswax,0,0,0,0,0,67,94,"Beeswax can be used in soap at 1-3% to help produce a harder bar of soap, and will reduce the amount of ""ash"" that is produced as your soap cures. Using too much beeswax will inhibit lather."
"Canola Oil, High Oleic",6,0,90,0,6,133,186,"Many soapers use canola oil as a partial replacement for more expensive olive oil in their soaps (using 10-15% in recipes). Canola oil produces stable lather and conditioning. Canola tends to slow down trace, therefore making it an ideal oil to use in soap recipes that will involve swirled soap. Canola oil will reduce the hardness of soap."
"Canola Oil, rapeseed",6,0,91,0,6,133,186,"Many soapers use canola oil as a partial replacement for more expensive olive oil in their soaps (using 10-15% in recipes). Canola oil produces stable lather and conditioning. Canola tends to slow down trace, therefore making it an ideal oil to use in soap recipes that will involve swirled soap. Canola oil will reduce the hardness of soap."
Castor Oil,0,0,98,90,90,128,180,"Castor oil provides a rich, creamy lather in soap when used at 5-7%. Using more than 10% castor oil in soap can produce a sticky soap."
Cocoa Butter,61,0,38,0,61,138,194,"Cocoa butter helps to produce a harder bar of soap that has rich, creamy lather. Can speed trace. Cocoa butter is typically used to superfat soap. It is high in antioxidants and is not prone to rancidity. Provides moisture to the skin."
Coconut Oil 76,79,67,10,67,12,183,257,"Coconut oil provides cleansing ability to a bar of soap, but using more than 30-35% of coconut oil in soap can strip the skin of its natural oils, leaving the skin dry and irritated. In order to counter this problem, many soapers superfat their soap recipe with soaping oils which are highly conditioning to the skin. The 76 next to coconut refers to the Fahrenheit temperature at which this oil melts."
